t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,CO2_total
600,1.144E+05,1.083E+05,0.000E+00,0.000E+00,4.488E-08,9.943E-11,0.000E+00,0.000E+00,5.576E-09,6.826E-11,2.068E-06,3.422E-04
1200,1.149E+05,1.087E+05,1.006E-04,4.017E-07,5.669E-05,1.071E-06,0.000E+00,0.000E+00,5.576E-09,6.826E-11,6.199E-03,6.843E-04
1800,1.148E+05,1.088E+05,2.695E-04,2.506E-07,1.173E-04,2.031E-06,0.000E+00,0.000E+00,5.576E-09,6.826E-11,1.377E-02,1.026E-03
2400,1.146E+05,1.086E+05,4.470E-04,9.045E-09,1.753E-04,2.351E-06,0.000E+00,0.000E+00,5.576E-09,6.826E-11,1.732E-02,1.369E-03
3000,1.147E+05,1.086E+05,6.339E-04,4.370E-08,2.290E-04,3.507E-06,0.000E+00,0.000E+00,5.576E-09,6.826E-11,2.079E-02,1.711E-03
3600,1.149E+05,1.088E+05,8.265E-04,1.417E-08,2.818E-04,4.023E-06,0.000E+00,0.000E+00,5.576E-09,6.826E-11,2.701E-02,2.053E-03
4200,1.149E+05,1.088E+05,1.022E-03,0.000E+00,3.301E-04,4.700E-06,0.000E+00,0.000E+00,5.576E-09,6.826E-11,2.935E-02,2.395E-03
4800,1.150E+05,1.089E+05,1.221E-03,0.000E+00,3.707E-04,5.119E-06,0.000E+00,0.000E+00,5.576E-09,6.826E-11,3.637E-02,2.737E-03
5400,1.146E+05,1.086E+05,1.412E-03,0.000E+00,4.075E-04,5.593E-06,0.000E+00,0.000E+00,5.576E-09,6.826E-11,4.067E-02,3.079E-03
6000,1.146E+05,1.085E+05,1.596E-03,0.000E+00,4.411E-04,5.998E-06,0.000E+00,0.000E+00,5.959E-09,6.826E-11,4.563E-02,3.422E-03
6600,1.144E+05,1.084E+05,1.766E-03,0.000E+00,4.729E-04,6.449E-06,0.000E+00,0.000E+00,3.215E-07,6.826E-11,5.262E-02,3.764E-03
7200,1.139E+05,1.079E+05,1.920E-03,5.121E-09,5.007E-04,6.879E-06,8.492E-06,8.244E-07,2.208E-05,6.826E-11,5.597E-02,4.106E-03
7800,1.140E+05,1.080E+05,2.069E-03,0.000E+00,5.182E-04,7.370E-06,2.975E-05,0.000E+00,7.108E-05,6.826E-11,6.357E-02,4.448E-03
