# x, y, gas saturation [-], CO2 concentration in water [kg/m3]
0.005000,0.005000,0.000000,0.001353
0.015000,0.005000,0.000000,0.036395
0.025000,0.005000,0.000000,0.075768
0.035000,0.005000,0.000000,0.275684
0.045000,0.005000,0.000000,0.384704
0.055000,0.005000,0.000000,0.473159
0.065000,0.005000,0.000000,0.585828
0.075000,0.005000,0.000000,0.616578
0.085000,0.005000,0.000000,0.643006
0.095000,0.005000,0.000000,0.667661
0.105000,0.005000,0.000000,0.672165
0.115000,0.005000,0.000000,0.672165
0.125000,0.005000,0.000000,0.666842
0.135000,0.005000,0.000000,0.668437
0.145000,0.005000,0.000000,0.682835
0.155000,0.005000,0.000000,0.702942
0.165000,0.005000,0.000000,0.764537
0.175000,0.005000,0.000000,0.797640
0.185000,0.005000,0.000000,0.821175
0.195000,0.005000,0.000000,0.848470
0.205000,0.005000,0.000000,0.890100
0.215000,0.005000,0.000000,0.903607
0.225000,0.005000,0.000000,0.922757
0.235000,0.005000,0.000000,0.950037
0.245000,0.005000,0.000000,0.958428
0.255000,0.005000,0.000000,0.973500
0.265000,0.005000,0.000000,0.992759
0.275000,0.005000,0.000000,0.997037
0.285000,0.005000,0.000000,1.007998
0.295000,0.005000,0.000000,1.014053
0.305000,0.005000,0.000000,1.010822
0.315000,0.005000,0.000000,1.006815
0.325000,0.005000,0.000000,0.979742
0.335000,0.005000,0.000000,0.965630
0.345000,0.005000,0.000000,0.922831
0.355000,0.005000,0.000000,0.897342
0.365000,0.005000,0.000000,0.840733
0.375000,0.005000,0.000000,0.855025
0.385000,0.005000,0.000000,0.893796
0.395000,0.005000,0.000000,0.976929
0.405000,0.005000,0.000000,0.993172
0.415000,0.005000,0.000000,1.010451
0.425000,0.005000,0.000000,1.015983
0.435000,0.005000,0.000000,1.010445
0.445000,0.005000,0.000000,1.000718
0.455000,0.005000,0.000000,0.988150
0.465000,0.005000,0.000000,0.980461
0.475000,0.005000,0.000000,0.961579
0.485000,0.005000,0.000000,0.926635
0.495000,0.005000,0.000000,0.911309
0.505000,0.005000,0.000000,0.884849
0.515000,0.005000,0.000000,0.839606
0.525000,0.005000,0.000000,0.820458
0.535000,0.005000,0.000000,0.788056
0.545000,0.005000,0.000000,0.746888
0.555000,0.005000,0.000000,0.736462
0.565000,0.005000,0.000000,0.705958
0.575000,0.005000,0.000000,0.632347
0.585000,0.005000,0.000000,0.603217
0.595000,0.005000,0.000000,0.650871
0.605000,0.005000,0.000000,0.758123
0.615000,0.005000,0.000000,0.778062
0.625000,0.005000,0.000000,0.807520
0.635000,0.005000,0.000000,0.858468
0.645000,0.005000,0.000000,0.863195
0.655000,0.005000,0.000000,0.879167
0.665000,0.005000,0.000000,0.879736
0.675000,0.005000,0.000000,0.866444
0.685000,0.005000,0.000000,0.862572
0.695000,0.005000,0.000000,0.805649
0.705000,0.005000,0.000000,0.788481
0.715000,0.005000,0.000000,0.817180
0.725000,0.005000,0.000000,0.878835
0.735000,0.005000,0.000000,0.896249
0.745000,0.005000,0.000000,0.908587
0.755000,0.005000,0.000000,0.916482
0.765000,0.005000,0.000000,0.914878
0.775000,0.005000,0.000000,0.902040
0.785000,0.005000,0.000000,0.865864
0.795000,0.005000,0.000000,0.898992
0.805000,0.005000,0.000000,0.896063
0.815000,0.005000,0.000000,0.859906
0.825000,0.005000,0.000000,0.820718
0.835000,0.005000,0.000000,0.786077
0.845000,0.005000,0.000000,0.689739
0.855000,0.005000,0.000000,0.702620
0.865000,0.005000,0.000000,0.727531
0.875000,0.005000,0.000000,0.790294
0.885000,0.005000,0.000000,0.809026
0.895000,0.005000,0.000000,0.811348
