# t, p_1, p_2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C, total_CO2_mass
0.000000,111162.630550,105289.146582,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005
600.000000,111027.507946,105186.770431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000188
1200.000000,111025.060876,105185.147802,0.000051,0.000006,0.000077,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000371
1800.000000,111023.520976,105185.090084,0.000113,0.000013,0.000174,0.000004,0.000000,0.000000,0.000000,0.000000,0.000001,0.000554
2400.000000,111031.427154,105191.341295,0.000208,0.000019,0.000238,0.000006,0.000000,0.000000,0.000000,0.000000,0.000002,0.000737
3000.000000,111029.811427,105190.040262,0.000318,0.000026,0.000281,0.000008,0.000000,0.000000,0.000000,0.000000,0.000003,0.000920
3600.000000,111032.863245,105192.420222,0.000426,0.000033,0.000323,0.000009,0.000000,0.000000,0.000000,0.000000,0.000015,0.001103
4200.000000,111032.497860,105192.101599,0.000535,0.000041,0.000362,0.000011,0.000000,0.000000,0.000000,0.000000,0.000098,0.001286
4800.000000,111029.778806,105189.986019,0.000647,0.000048,0.000397,0.000013,0.000000,0.000000,0.000000,0.000000,0.000430,0.001469
5400.000000,111035.053742,105194.083561,0.000758,0.000056,0.000432,0.000015,0.000000,0.000000,0.000000,0.000000,0.001408,0.001652
6000.000000,111034.530822,105193.689031,0.000860,0.000063,0.000473,0.000017,0.000000,0.000000,0.000000,0.000000,0.003126,0.001834
6600.000000,111034.558261,105193.671310,0.000963,0.000071,0.000505,0.000019,0.000000,0.000000,0.000000,0.000000,0.006151,0.002017
7200.000000,111033.355045,105192.738062,0.001064,0.000078,0.000537,0.000021,0.000000,0.000000,0.000000,0.000000,0.011091,0.002200
7800.000000,111034.050391,105193.249634,0.001165,0.000085,0.000567,0.000022,0.000000,0.000000,0.000000,0.000000,0.017934,0.002382
8400.000000,111034.243931,105193.399431,0.001265,0.000093,0.000595,0.000024,0.000000,0.000000,0.000000,0.000000,0.027100,0.002654
9000.000000,111032.661786,105192.136260,0.001362,0.000100,0.000624,0.000026,0.000000,0.000000,0.000000,0.000000,0.040333,0.003017
9600.000000,111041.389038,105198.738604,0.001458,0.000107,0.000651,0.000028,0.000000,0.000000,0.000000,0.000000,0.052570,0.003380
10200.000000,111033.392644,105191.925322,0.001559,0.000114,0.000678,0.000030,0.000000,0.000000,0.000000,0.000000,0.077270,0.003744
10800.000000,111038.506282,105196.615893,0.001654,0.000121,0.000705,0.000032,0.000000,0.000000,0.000000,0.000000,0.099830,0.004109
11400.000000,111047.706532,105203.998032,0.001747,0.000128,0.000729,0.000034,0.000000,0.000000,0.000000,0.000000,0.123458,0.004474
12000.000000,111053.526498,105192.334761,0.001845,0.000135,0.000754,0.000036,0.000000,0.000000,0.000000,0.000000,0.149396,0.004838
12600.000000,111052.797685,105189.862541,0.001940,0.000142,0.000778,0.000038,0.000000,0.000000,0.000000,0.000000,0.186561,0.005203
13200.000000,111055.696028,105188.833669,0.002033,0.000148,0.000799,0.000040,0.000000,0.000000,0.000000,0.000000,0.225859,0.005567
13800.000000,111050.885112,105187.010112,0.002128,0.000155,0.000824,0.000042,0.000000,0.000000,0.000000,0.000000,0.262455,0.005931
14400.000000,111057.588349,105187.699012,0.002223,0.000162,0.000846,0.000044,0.000000,0.000000,0.000000,0.000000,0.314925,0.006296
15000.000000,111054.928334,105187.087431,0.002314,0.000169,0.000870,0.000046,0.000000,0.000000,0.000000,0.000000,0.355475,0.006660
15600.000000,111043.702416,105185.846819,0.002393,0.000174,0.000886,0.000047,0.000000,0.000000,0.000000,0.000000,0.384278,0.007024
16200.000000,111043.202867,105185.331936,0.002405,0.000175,0.000890,0.000049,0.000000,0.000000,0.000000,0.000000,0.369849,0.007388
16800.000000,111047.649851,105185.441930,0.002406,0.000175,0.000893,0.000050,0.000000,0.000003,0.000078,0.000000,0.368984,0.007752
17400.000000,111045.405477,105184.817297,0.002407,0.000175,0.000896,0.000051,0.000009,0.000009,0.000202,0.000000,0.374434,0.008115
18000.000000,111048.410121,105184.312612,0.002407,0.000175,0.000899,0.000053,0.000011,0.000014,0.000347,0.000000,0.383771,0.008479
18600.000000,111015.273636,105182.907624,0.002401,0.000175,0.000903,0.000054,0.000011,0.000009,0.000346,0.000000,0.368431,0.008478
19200.000000,111018.074779,105182.998252,0.002398,0.000175,0.000907,0.000055,0.000010,0.000007,0.000341,0.000000,0.352179,0.008478
19800.000000,111018.178637,105183.004075,0.002395,0.000174,0.000910,0.000057,0.000008,0.000007,0.000337,0.000000,0.340498,0.008478
20400.000000,111018.055814,105182.998482,0.002391,0.000174,0.000914,0.000058,0.000007,0.000006,0.000332,0.000000,0.334146,0.008477
21000.000000,111018.535597,105182.993842,0.002390,0.000174,0.000918,0.000059,0.000005,0.000005,0.000328,0.000000,0.320610,0.008477
21600.000000,111018.779539,105183.004191,0.002387,0.000174,0.000921,0.000061,0.000004,0.000004,0.000324,0.000000,0.307661,0.008477
22200.000000,111018.510375,105182.990943,0.002382,0.000174,0.000926,0.000062,0.000004,0.000004,0.000319,0.000000,0.306200,0.008477
22800.000000,111019.004523,105183.013247,0.002379,0.000173,0.000929,0.000063,0.000004,0.000003,0.000314,0.000000,0.304146,0.008477
23400.000000,111019.257284,105183.025342,0.002376,0.000173,0.000933,0.000065,0.000003,0.000003,0.000308,0.000000,0.303666,0.008476
24000.000000,111019.229830,105183.024013,0.002374,0.000173,0.000936,0.000066,0.000003,0.000002,0.000303,0.000000,0.302887,0.008476
24600.000000,111019.254221,105183.025301,0.002372,0.000173,0.000939,0.000067,0.000003,0.000002,0.000298,0.000000,0.298412,0.008476
25200.000000,111019.191219,105183.023014,0.002369,0.000173,0.000942,0.000069,0.000003,0.000002,0.000293,0.000000,0.298566,0.008476
25800.000000,111019.339296,105183.027063,0.002366,0.000172,0.000946,0.000070,0.000003,0.000002,0.000288,0.000000,0.300954,0.008476
26400.000000,111019.448385,105183.029789,0.002363,0.000172,0.000949,0.000071,0.000003,0.000001,0.000283,0.000000,0.304794,0.008476
27000.000000,111019.519316,105183.029456,0.002359,0.000172,0.000952,0.000073,0.000003,0.000001,0.000277,0.000000,0.307931,0.008476
27600.000000,111019.140450,105183.008711,0.002357,0.000172,0.000956,0.000074,0.000003,0.000001,0.000272,0.000000,0.308904,0.008475
28200.000000,111019.410235,105183.021795,0.002353,0.000172,0.000959,0.000075,0.000003,0.000001,0.000266,0.000000,0.313663,0.008475
28800.000000,111019.248389,105183.013255,0.002351,0.000171,0.000962,0.000077,0.000003,0.000001,0.000261,0.000000,0.318501,0.008475
